id,town,area,latitude,longitude,region
07-001-0037,Minsk,capital,53.83805,27.649776,7
07-001-0038,Minsk,capital,53.83805,27.649776,7
07-001-0039,Minsk,capital,53.836764,27.642805,7
07-001-0040,Minsk,capital,53.836735,27.642207,7
07-001-0041,Minsk,capital,53.836477,27.634963,7
07-001-0042,Minsk,capital,53.838108,27.628998,7
07-001-0043,Minsk,capital,53.836668,27.62253,7
07-001-0044,Minsk,capital,53.836828,27.613215,7
07-001-0045,Minsk,capital,53.836828,27.613215,7
07-001-0046,Minsk,capital,53.836828,27.613215,7
07-001-0047,Minsk,capital,53.835149,27.622279,7
07-001-0048,Minsk,capital,53.836196,27.623644,7
07-001-0049,Minsk,capital,53.836477,27.634963,7
07-001-0050,Minsk,capital,53.844207,27.638565,7
07-001-0051,Minsk,capital,53.844207,27.638565,7
07-001-0052,Minsk,capital,53.846125,27.639472,7
07-001-0053,Minsk,capital,53.846125,27.639472,7
07-001-0054,Minsk,capital,53.846125,27.639472,7
07-001-0055,Minsk,capital,53.844207,27.638565,7
07-001-0056,Minsk,capital,53.841099,27.646372,7
07-001-0057,Minsk,capital,53.841099,27.646372,7
07-001-0058,Minsk,capital,53.83805,27.649776,7
07-001-0059,Minsk,capital,53.850688,27.659155,7
07-001-0060,Minsk,capital,53.864485,27.672629,7
07-001-0061,Minsk,capital,53.864485,27.672629,7
07-001-0062,Minsk,capital,53.870437,27.673132,7
07-001-0063,Minsk,capital,53.881727,27.665946,7
07-001-0064,Minsk,capital,53.888059,27.682358,7
07-001-0065,Minsk,capital,53.881727,27.665946,7
07-001-0066,Minsk,capital,53.881727,27.665946,7
07-001-0067,Minsk,capital,53.86749,27.67315,7
07-001-0068,Minsk,capital,53.867989,27.674246,7
07-001-0069,Minsk,capital,53.86689,27.662074,7
07-001-0070,Minsk,capital,53.868318,27.657187,7
07-001-0071,Minsk,capital,53.86689,27.662074,7
07-001-0072,Minsk,capital,53.868318,27.657187,7
07-001-0073,Minsk,capital,53.863439,27.659316,7
07-001-0074,Minsk,capital,53.86749,27.648725,7
07-001-0075,Minsk,capital,53.860115,27.636436,7
07-001-0076,Minsk,capital,53.857247,27.636149,7
07-001-0077,Minsk,capital,53.86098,27.627875,7
07-001-0078,Minsk,capital,53.86098,27.627875,7
07-001-0079,Minsk,capital,53.86098,27.627875,7
07-001-0080,Minsk,capital,53.866025,27.629133,7
07-001-0081,Minsk,capital,53.866025,27.629133,7
07-001-0082,Minsk,capital,53.871116,27.632475,7
07-001-0083,Minsk,capital,53.867559,27.637182,7
07-001-0084,Minsk,capital,53.871376,27.634936,7
07-001-0085,Minsk,capital,53.871376,27.634936,7
07-001-0086,Minsk,capital,53.875788,27.63243,7
07-001-0087,Minsk,capital,53.871376,27.634936,7
07-001-0088,Minsk,capital,53.871084,27.616844,7
07-001-0089,Minsk,capital,53.871084,27.616844,7
07-001-0090,Minsk,capital,53.876308,27.608669,7
07-001-0091,Minsk,capital,53.873548,27.624165,7
07-001-0092,Minsk,capital,53.873548,27.624165,7
07-001-0093,Minsk,capital,53.876956,27.621605,7
07-001-0094,Minsk,capital,53.878277,27.607987,7
07-001-0095,Minsk,capital,53.876308,27.608669,7
07-001-0096,Minsk,capital,53.878277,27.607987,7
07-002-0001,Minsk,capital,53.874243,27.600683,7
07-002-0002,Minsk,capital,53.874243,27.600683,7
07-002-0003,Minsk,capital,53.869752,27.607052,7
07-002-0004,Minsk,capital,53.869752,27.607052,7
07-002-0005,Minsk,capital,53.869752,27.607052,7
07-002-0006,Minsk,capital,53.866869,27.608543,7
07-002-0007,Minsk,capital,53.866869,27.608543,7
07-002-0008,Minsk,capital,53.866869,27.608543,7
07-002-0009,Minsk,capital,53.86415,27.616583,7
07-002-0010,Minsk,capital,53.86415,27.616583,7
07-002-0011,Minsk,capital,53.860805,27.614679,7
07-002-0012,Minsk,capital,53.860805,27.614679,7
07-002-0013,Minsk,capital,53.860805,27.614679,7
07-002-0014,Minsk,capital,53.855287,27.610008,7
07-002-0015,Minsk,capital,53.855287,27.610008,7
07-002-0016,Minsk,capital,53.855287,27.610008,7
07-002-0017,Minsk,capital,53.852961,27.605363,7
07-002-0018,Minsk,capital,53.852961,27.605363,7
07-002-0019,Minsk,capital,53.852961,27.605363,7
07-002-0020,Minsk,capital,53.855325,27.603207,7
07-002-0021,Minsk,capital,53.855325,27.603207,7
07-002-0022,Minsk,capital,53.857895,27.600171,7
07-002-0023,Minsk,capital,53.857895,27.600171,7
07-002-0024,Minsk,capital,53.857895,27.600171,7
07-002-0025,Minsk,capital,53.855866,27.600423,7
07-002-0026,Minsk,capital,53.855866,27.600423,7
07-002-0027,Minsk,capital,53.852908,27.602237,7
07-002-0028,Minsk,capital,53.852908,27.602237,7
07-002-0029,Minsk,capital,53.852908,27.602237,7
07-002-0030,Minsk,capital,53.838103,27.580705,7
07-002-0031,Minsk,capital,53.838103,27.580705,7
07-002-0032,Minsk,capital,53.838103,27.580705,7
07-002-0033,Minsk,capital,53.836987,27.580166,7
07-002-0034,Minsk,capital,53.836987,27.580166,7
07-002-0035,Minsk,capital,53.838741,27.570033,7
07-002-0036,Minsk,capital,53.838741,27.570033,7
